,0,1,2
0,20.0,1.0,0.05879277717779465
1,14.0,1.0,0.053875776886948765
2,17.0,1.0,0.13100063703865653
3,16.0,1.0,0.14622253502275695
4,18.0,1.0,0.15868936548913506
5,15.0,1.0,0.16163045047254038
6,23.0,1.0,0.1186118204915364
7,23.0,1.0,0.12636278664148015
8,16.0,1.0,0.13292468641636002
9,15.0,1.0,0.1462915250497702
10,19.0,1.0,0.10610874564915918
11,16.0,0.0,0.0
12,18.0,0.0,0.0
13,14.0,0.0,0.0
14,16.0,1.0,0.2042054563344186
15,21.0,1.0,0.2379195108913701
16,22.0,1.0,0.23183180427843897
17,16.0,1.0,0.33631304353636543
18,15.0,1.0,0.30086016695740764
19,23.0,1.0,0.3074983509111807
20,16.0,1.0,0.23139292692984464
21,7.0,1.0,0.21309522694011443
22,17.0,1.0,0.30202398183167944
23,16.0,2.0,0.9148669238410928
24,19.0,2.0,0.9199994429262
25,17.0,2.0,1.6820025273297574
26,12.0,2.0,1.3063348007320745
27,18.0,2.0,1.1891233571965738
28,25.0,2.0,0.9492353754038367
29,19.0,2.0,1.401595001055343
30,22.0,2.0,1.5391136340723517
31,9.0,2.0,1.4478143752773265
32,16.0,3.0,1.9073969450822739
33,19.0,3.0,1.7607487208769592
34,17.0,2.0,1.1239439345774647
35,21.0,2.0,1.0093751431999876
36,16.0,1.0,0.3208404257862192
37,12.0,1.0,0.2580148720912511
38,15.0,1.0,0.28126074167688236
39,17.0,1.0,0.29123644284843186
40,18.0,1.0,0.22247798615507533
41,8.0,2.0,0.29688295177076296
42,22.0,2.0,0.4187732249680419
43,18.0,1.0,0.18636872813422486
44,16.0,1.0,0.12693926661391294
45,16.0,1.0,0.3781319177877826
46,18.0,1.0,0.35692908996271044
47,23.0,1.0,0.318270379542495
48,18.0,1.0,0.3575030393353524
49,11.0,1.0,0.3499648752775347
50,18.0,1.0,0.1932158461108504
51,15.0,1.0,0.058616857155667154
52,11.0,0.0,0.0
53,12.0,0.0,0.0
54,13.0,0.0,0.0
55,12.0,0.0,0.0
56,15.0,1.0,0.08241964793822099
57,11.0,1.0,0.08758261509290802
58,18.0,1.0,0.1276197873619332
59,17.0,1.0,0.13139404981926406
60,15.0,1.0,0.16596229999627968
61,17.0,1.0,0.17261550611317528
62,21.0,1.0,0.14601736707881427
63,20.0,2.0,0.40011804909201304
64,23.0,2.0,0.37537033190797975
65,18.0,2.0,0.5553465596578703
66,15.0,2.0,0.3610796710701014
67,18.0,1.0,0.11082677616817602
68,18.0,1.0,0.032217780994908324
69,13.0,1.0,0.26078940141620544
70,9.0,1.0,0.39702109821967474
71,14.0,1.0,0.3881669306145352
72,20.0,1.0,0.3215160632289647
73,16.0,1.0,0.35852275521127147
74,14.0,0.0,0.0
75,12.0,0.0,0.0
76,13.0,0.0,0.0
77,15.0,0.0,0.0
78,28.0,0.0,0.0
79,17.0,0.0,0.0
80,13.0,0.0,0.0
81,10.0,0.0,0.0
82,16.0,0.0,0.0
83,18.0,0.0,0.0
84,15.0,0.0,0.0
85,17.0,0.0,0.0
86,11.0,0.0,0.0
87,18.0,0.0,0.0
88,10.0,0.0,0.0
89,12.0,0.0,0.0
90,16.0,0.0,0.0
91,21.0,0.0,0.0
92,16.0,0.0,0.0
93,13.0,0.0,0.0
94,14.0,0.0,0.0
95,24.0,0.0,0.0
96,21.0,0.0,0.0
97,18.0,0.0,0.0
98,12.0,0.0,0.0
99,18.0,0.0,0.0
100,16.0,0.0,0.0
101,19.0,0.0,0.0
102,17.0,0.0,0.0
103,17.0,0.0,0.0
104,16.0,0.0,0.0
