,0,1,2
0,30.0,0.0,0.0
1,0.0,0.0,0.0
2,16.0,0.0,0.0
3,17.0,1.0,0.06535635594190697
4,0.0,2.0,0.17880618682776966
5,0.0,2.0,0.20988886364418147
6,0.0,2.0,0.1432003008315359
7,0.0,2.0,0.17720423651665074
8,7.0,2.0,0.25103376743094163
9,28.0,2.0,0.3119987320437352
10,10.0,2.0,0.3194381333001987
11,21.0,2.0,0.26349507762448626
12,0.0,2.0,0.30159682285590017
13,20.0,2.0,0.258734466724773
14,0.0,1.0,0.0732030172208217
15,0.0,0.0,0.0
16,43.0,0.0,0.0
17,1.0,0.0,0.0
18,10.0,0.0,0.0
19,0.0,0.0,0.0
20,44.0,0.0,0.0
21,5.0,0.0,0.0
22,5.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,19.0,0.0,0.0
26,10.0,0.0,0.0
27,12.0,0.0,0.0
28,0.0,2.0,0.11889700866251471
29,34.0,3.0,1.360702628296486
30,0.0,3.0,1.021429253646102
31,0.0,4.0,2.403607056274702
32,0.0,4.0,2.042491532550734
33,30.0,4.0,2.139325724628942
34,19.0,4.0,1.8736703892349085
35,23.0,4.0,1.8614661753401405
36,25.0,4.0,1.5026655682816648
37,0.0,4.0,2.3510895715580666
38,18.0,4.0,2.2529094876381444
39,13.0,2.0,0.46745233680610676
40,0.0,1.0,0.16854828646658346
41,20.0,1.0,0.10915073529257446
42,7.0,1.0,0.059354545241610414
43,0.0,1.0,0.02706646405045978
44,5.0,1.0,0.10276248698201235
45,0.0,2.0,0.6798438060365297
46,15.0,2.0,0.5573876369440542
47,43.0,2.0,0.6380574044938591
48,19.0,2.0,0.5341360129743765
49,46.0,2.0,0.48004131055182403
50,17.0,3.0,0.7156909201871489
51,9.0,6.0,1.3190598670025133
52,17.0,6.0,1.6739716619462073
53,0.0,5.0,1.9086961463954932
54,19.0,5.0,1.8242636746365328
55,7.0,5.0,1.9505087921307238
56,27.0,4.0,1.127975275775522
57,22.0,4.0,1.294954899931253
58,15.0,5.0,2.143031250009764
59,25.0,5.0,1.8221451193395457
60,18.0,5.0,2.0339158805656066
61,0.0,4.0,1.9342453426560395
62,0.0,1.0,0.2104683354003775
63,40.0,1.0,0.20584012429264692
64,2.0,1.0,0.09197373392866008
65,0.0,2.0,0.06874887941040264
66,5.0,2.0,0.1113473144916827
67,18.0,2.0,0.20189700859086962
68,22.0,2.0,0.21379927099391988
69,24.0,4.0,1.1413232600243022
70,24.0,4.0,1.8145578917770964
71,1.0,4.0,1.4908740569624315
72,19.0,4.0,1.3779732201219799
73,0.0,4.0,1.8069113408200015
74,44.0,4.0,1.993361512214102
75,14.0,4.0,2.0565969706539486
76,0.0,3.0,1.727852359582289
77,79.0,3.0,1.4741154228079345
78,5.0,3.0,1.5821872738660925
