Random State,Accuracy,Precision,Recall,F1 Score
0,0.6851851851851852,0.7155773420479302,0.6851851851851852,0.6802849199943631
10,0.6666666666666666,0.7017543859649122,0.6666666666666666,0.6597222222222222
20,0.6666666666666666,0.7017543859649122,0.6666666666666666,0.6597222222222222
30,0.6296296296296297,0.6602617655249234,0.6296296296296297,0.6219135802469135
40,0.6481481481481481,0.6751089324618736,0.6481481481481481,0.6426713811701705
50,0.6481481481481481,0.6877572016460906,0.6481481481481481,0.6386983425699854
60,0.6666666666666666,0.7017543859649122,0.6666666666666666,0.6597222222222222
70,0.6851851851851852,0.7155773420479302,0.6851851851851852,0.6802849199943631
80,0.6666666666666666,0.7017543859649122,0.6666666666666666,0.6597222222222222
90,0.6481481481481481,0.6877572016460906,0.6481481481481481,0.6386983425699854
100,0.6296296296296297,0.6734381440263794,0.6296296296296297,0.6171627447924785
110,0.6481481481481481,0.6751089324618736,0.6481481481481481,0.6426713811701705
120,0.6481481481481481,0.6751089324618736,0.6481481481481481,0.6426713811701705
130,0.6666666666666666,0.6897546897546897,0.6666666666666666,0.6629885057471264
140,0.6666666666666666,0.6897546897546897,0.6666666666666666,0.6629885057471264
150,0.6481481481481481,0.6751089324618736,0.6481481481481481,0.6426713811701705
160,0.6481481481481481,0.6877572016460906,0.6481481481481481,0.6386983425699854
170,0.6481481481481481,0.6751089324618736,0.6481481481481481,0.6426713811701705
180,0.6851851851851852,0.7155773420479302,0.6851851851851852,0.6802849199943631
190,0.6666666666666666,0.6897546897546897,0.6666666666666666,0.6629885057471264
