,0,1,2
0,48.0,0.0,0.0
1,0.0,0.0,0.0
2,27.0,0.0,0.0
3,10.0,0.0,0.0
4,2.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,18.0,0.0,0.0
9,18.0,0.0,0.0
10,20.0,0.0,0.0
11,24.0,0.0,0.0
12,0.0,0.0,0.0
13,12.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,1.0,0.13719411228077844
16,34.0,1.0,0.1640074952218173
17,0.0,1.0,0.33405629645402596
18,7.0,1.0,0.3877369434642435
19,0.0,1.0,0.5335247676146107
20,40.0,1.0,0.39119453187383346
21,1.0,4.0,1.8538731891471751
22,7.0,4.0,1.9390499851306477
23,0.0,4.0,2.218769974349775
24,0.0,4.0,1.8899136728661483
25,27.0,3.0,1.7151462062270366
26,20.0,3.0,1.5393421060674752
27,24.0,3.0,1.5134577163473093
28,0.0,3.0,1.4819599772868397
29,40.0,4.0,1.8121537886117798
30,4.0,4.0,1.799912553307216
31,0.0,1.0,0.11266199171461595
32,0.0,1.0,0.20607685286458047
33,34.0,2.0,0.6218299946795889
34,26.0,2.0,0.9892690290870771
35,22.0,2.0,0.7048347904061532
36,15.0,2.0,0.6847736547926696
37,0.0,3.0,0.6646529869047518
38,21.0,3.0,0.5185959619420784
39,21.0,2.0,0.5648351187429643
40,0.0,2.0,0.8607492034391637
41,45.0,2.0,0.9559950220465978
42,19.0,2.0,0.8909550186647905
43,11.0,1.0,0.12541358506470401
44,16.0,1.0,0.10666606148575011
45,0.0,1.0,0.031054773086827133
46,25.0,1.0,0.04312277697610874
47,44.0,0.0,0.0
48,26.0,0.0,0.0
49,48.0,0.0,0.0
50,20.0,0.0,0.0
51,4.0,3.0,1.7642804169612143
52,21.0,3.0,1.487221874358348
53,0.0,4.0,1.682599512443777
54,26.0,4.0,1.5450953721392577
55,19.0,4.0,2.094054586811163
56,26.0,4.0,2.202433666720993
57,22.0,4.0,2.293824888862091
58,25.0,4.0,1.0607724480083098
59,31.0,4.0,1.2511406386822048
60,25.0,4.0,1.2472903076707398
61,0.0,1.0,0.4749199839092316
62,0.0,1.0,0.8319593203225282
63,43.0,0.0,0.0
64,12.0,0.0,0.0
65,0.0,0.0,0.0
66,3.0,0.0,0.0
67,24.0,1.0,0.08259964209154559
68,26.0,1.0,0.037338356000250136
69,14.0,2.0,0.47989185068141893
70,22.0,2.0,0.7498824067204581
71,0.0,2.0,0.8272356289189766
72,24.0,2.0,0.7207270923879171
73,0.0,3.0,1.3046814923452632
74,22.0,3.0,1.2944321363289133
75,21.0,3.0,1.235386671436994
76,0.0,3.0,1.2716324684316869
77,88.0,2.0,0.7073064411361992
78,2.0,2.0,0.4309302137439965
79,23.0,4.0,0.9346023082982846
80,56.0,4.0,0.9729912602762255
81,50.0,7.0,2.2280173333566937
82,0.0,7.0,2.3411756397952344
83,21.0,6.0,1.9949107773840318
84,22.0,6.0,2.0356839522656918
85,31.0,6.0,2.2181374658526036
86,44.0,6.0,2.0649619216143895
87,0.0,7.0,2.1402081051343966
88,0.0,7.0,2.585147969675268
89,5.0,6.0,2.0984604547984644
90,34.0,6.0,2.2509765766890477
91,28.0,3.0,1.2507607926240034
92,9.0,3.0,1.1363314587508926
93,27.0,4.0,1.5065014931207217
94,15.0,4.0,1.5132866244511811
95,0.0,4.0,1.6904764564043933
96,0.0,4.0,1.4493663668288588
97,26.0,5.0,1.9671253014338244
98,24.0,5.0,1.2324080071846013
99,0.0,4.0,1.483879620545373
100,32.0,4.0,1.8453139201704036
101,0.0,4.0,1.603453885816925
102,42.0,4.0,1.2188168870776594
103,35.0,3.0,1.3330340013919206
104,49.0,3.0,1.2719781165200497
105,0.0,3.0,1.2197058137961334
106,0.0,3.0,0.8031119658869331
107,4.0,1.0,0.17777049153371038
108,21.0,1.0,0.09791933290164913
109,34.0,0.0,0.0
110,49.0,0.0,0.0
111,29.0,0.0,0.0
112,12.0,0.0,0.0
113,3.0,0.0,0.0
114,9.0,0.0,0.0
115,0.0,0.0,0.0
116,40.0,0.0,0.0
117,20.0,0.0,0.0
118,0.0,0.0,0.0
119,0.0,0.0,0.0
120,13.0,0.0,0.0
121,0.0,0.0,0.0
122,13.0,0.0,0.0
123,21.0,0.0,0.0
124,0.0,0.0,0.0
125,19.0,0.0,0.0
126,22.0,0.0,0.0
127,21.0,0.0,0.0
128,0.0,0.0,0.0
129,0.0,0.0,0.0
130,31.0,0.0,0.0
131,56.0,0.0,0.0
132,23.0,0.0,0.0
133,0.0,0.0,0.0
134,27.0,0.0,0.0
135,5.0,0.0,0.0
136,0.0,0.0,0.0
137,0.0,0.0,0.0
138,17.0,0.0,0.0
139,17.0,0.0,0.0
140,0.0,0.0,0.0
141,17.0,0.0,0.0
142,13.0,1.0,0.1232009675096258
143,13.0,1.0,0.11228090801845114
144,5.0,1.0,0.07346678058410908
145,26.0,1.0,0.3259962090966927
