NumberofNeigh,Accuracy,Precision,Recall,F1 Score
20,0.7037037037037037,0.7432470064049012,0.7037037037037037,0.697530864197531
30,0.6296296296296297,0.6602617655249234,0.6296296296296297,0.6219135802469135
40,0.6296296296296297,0.6602617655249234,0.6296296296296297,0.6219135802469135
50,0.6296296296296297,0.6501523168189836,0.6296296296296297,0.625542784163474
