Random State,Accuracy,Precision,Recall,F1 Score
0,0.6481481481481481,0.6877572016460906,0.6481481481481481,0.6386983425699854
1,0.7222222222222222,0.7337962962962963,0.7222222222222222,0.7217457594816085
2,0.6296296296296297,0.6734381440263794,0.6296296296296297,0.6171627447924785
3,0.6666666666666666,0.6897546897546897,0.6666666666666666,0.6629885057471264
4,0.6851851851851852,0.7155773420479302,0.6851851851851852,0.6802849199943631
5,0.6481481481481481,0.6654566498316499,0.6481481481481481,0.6456063907044298
6,0.6666666666666666,0.7017543859649122,0.6666666666666666,0.6597222222222222
7,0.6481481481481481,0.6751089324618736,0.6481481481481481,0.6426713811701705
8,0.6666666666666666,0.6897546897546897,0.6666666666666666,0.6629885057471264
9,0.6666666666666666,0.6897546897546897,0.6666666666666666,0.6629885057471264
10,0.7037037037037037,0.7293570626903961,0.7037037037037037,0.7004342273307791
11,0.6296296296296297,0.6602617655249234,0.6296296296296297,0.6219135802469135
12,0.6851851851851852,0.7155773420479302,0.6851851851851852,0.6802849199943631
13,0.6666666666666666,0.6897546897546897,0.6666666666666666,0.6629885057471264
14,0.6111111111111112,0.634640522875817,0.6111111111111112,0.605057842345978
15,0.6296296296296297,0.6734381440263794,0.6296296296296297,0.6171627447924785
16,0.6666666666666666,0.6897546897546897,0.6666666666666666,0.6629885057471264
17,0.7222222222222222,0.743213383838384,0.7222222222222222,0.7202155716087605
18,0.6851851851851852,0.7304526748971193,0.6851851851851852,0.6767300959836712
19,0.6111111111111112,0.6265782828282828,0.6111111111111112,0.6083018002522645
