Random State,Accuracy,Precision,Recall,F1 Score
0,0.6481481481481481,0.6751089324618736,0.6481481481481481,0.6426713811701705
10,0.6481481481481481,0.6877572016460906,0.6481481481481481,0.6386983425699854
20,0.6666666666666666,0.7017543859649122,0.6666666666666666,0.6597222222222222
30,0.7037037037037037,0.7293570626903961,0.7037037037037037,0.7004342273307791
40,0.7222222222222222,0.7560457516339869,0.7222222222222222,0.7178984588185557
50,0.7407407407407407,0.7572593631499662,0.7407407407407407,0.7396723646723647
60,0.7037037037037037,0.7293570626903961,0.7037037037037037,0.7004342273307791
70,0.7222222222222222,0.743213383838384,0.7222222222222222,0.7202155716087605
80,0.7037037037037037,0.7293570626903961,0.7037037037037037,0.7004342273307791
90,0.6851851851851852,0.7155773420479302,0.6851851851851852,0.6802849199943631
100,0.6666666666666666,0.7017543859649122,0.6666666666666666,0.6597222222222222
110,0.7037037037037037,0.7432470064049012,0.7037037037037037,0.697530864197531
120,0.6666666666666666,0.6897546897546897,0.6666666666666666,0.6629885057471264
130,0.6666666666666666,0.6897546897546897,0.6666666666666666,0.6629885057471264
140,0.6481481481481481,0.6751089324618736,0.6481481481481481,0.6426713811701705
150,0.6851851851851852,0.7043350168350168,0.6851851851851852,0.6829109811565951
160,0.6851851851851852,0.7043350168350168,0.6851851851851852,0.6829109811565951
170,0.6666666666666666,0.6897546897546897,0.6666666666666666,0.6629885057471264
180,0.6666666666666666,0.6897546897546897,0.6666666666666666,0.6629885057471264
190,0.6666666666666666,0.6897546897546897,0.6666666666666666,0.6629885057471264
