Random State,Accuracy,Precision,Recall,F1 Score
0,0.6296296296296297,0.6602617655249234,0.6296296296296297,0.6219135802469135
1,0.6851851851851852,0.7155773420479302,0.6851851851851852,0.6802849199943631
2,0.6481481481481481,0.6751089324618736,0.6481481481481481,0.6426713811701705
3,0.6111111111111112,0.634640522875817,0.6111111111111112,0.605057842345978
4,0.6666666666666666,0.6897546897546897,0.6666666666666666,0.6629885057471264
5,0.6296296296296297,0.6602617655249234,0.6296296296296297,0.6219135802469135
6,0.7222222222222222,0.743213383838384,0.7222222222222222,0.7202155716087605
7,0.6296296296296297,0.6734381440263794,0.6296296296296297,0.6171627447924785
8,0.6111111111111112,0.634640522875817,0.6111111111111112,0.605057842345978
9,0.6481481481481481,0.6877572016460906,0.6481481481481481,0.6386983425699854
10,0.6296296296296297,0.6602617655249234,0.6296296296296297,0.6219135802469135
11,0.6851851851851852,0.7155773420479302,0.6851851851851852,0.6802849199943631
12,0.6666666666666666,0.7017543859649122,0.6666666666666666,0.6597222222222222
13,0.7037037037037037,0.7293570626903961,0.7037037037037037,0.7004342273307791
14,0.6296296296296297,0.6734381440263794,0.6296296296296297,0.6171627447924785
15,0.7037037037037037,0.7293570626903961,0.7037037037037037,0.7004342273307791
16,0.7037037037037037,0.7616439969381146,0.7037037037037037,0.6937301958339828
17,0.7037037037037037,0.7616439969381146,0.7037037037037037,0.6937301958339828
18,0.7037037037037037,0.7432470064049012,0.7037037037037037,0.697530864197531
19,0.6666666666666666,0.7017543859649122,0.6666666666666666,0.6597222222222222
