,0,1,2
0,18.0,0.0,0.0
1,9.0,0.0,0.0
2,16.0,0.0,0.0
3,12.0,0.0,0.0
4,8.0,0.0,0.0
5,11.0,1.0,0.06722222222222221
6,12.0,0.0,0.0
7,14.0,0.0,0.0
8,14.0,0.0,0.0
9,10.0,0.0,0.0
10,12.0,0.0,0.0
11,9.0,0.0,0.0
12,15.0,0.0,0.0
13,12.0,0.0,0.0
14,13.0,0.0,0.0
15,15.0,0.0,0.0
16,14.0,0.0,0.0
17,16.0,0.0,0.0
18,9.0,0.0,0.0
19,5.0,0.0,0.0
20,16.0,0.0,0.0
21,17.0,0.0,0.0
22,12.0,0.0,0.0
23,8.0,0.0,0.0
24,18.0,0.0,0.0
25,15.0,0.0,0.0
26,9.0,0.0,0.0
27,12.0,0.0,0.0
28,20.0,0.0,0.0
29,11.0,1.0,0.04189323210560534
30,8.0,0.0,0.0
31,7.0,0.0,0.0
32,12.0,0.0,0.0
33,8.0,0.0,0.0
34,15.0,1.0,0.172264981981581
35,10.0,1.0,0.032777777777777795
36,14.0,1.0,0.08738157629510179
37,15.0,2.0,0.11635275422839639
38,15.0,0.0,0.0
39,7.0,0.0,0.0
40,18.0,0.0,0.0
41,9.0,0.0,0.0
42,5.0,0.0,0.0
43,15.0,0.0,0.0
44,16.0,0.0,0.0
45,12.0,0.0,0.0
46,10.0,0.0,0.0
47,12.0,1.0,0.07505837873901938
48,14.0,0.0,0.0
49,8.0,0.0,0.0
50,9.0,1.0,0.13265306122448983
51,19.0,0.0,0.0
52,9.0,0.0,0.0
53,10.0,0.0,0.0
54,19.0,0.0,0.0
55,20.0,0.0,0.0
56,24.0,0.0,0.0
57,19.0,0.0,0.0
58,10.0,0.0,0.0
59,15.0,1.0,0.375
60,15.0,0.0,0.0
61,20.0,0.0,0.0
62,16.0,0.0,0.0
63,14.0,0.0,0.0
64,8.0,0.0,0.0
65,10.0,1.0,0.045528038530953996
66,15.0,0.0,0.0
67,11.0,0.0,0.0
68,8.0,0.0,0.0
69,17.0,0.0,0.0
70,13.0,0.0,0.0
71,14.0,0.0,0.0
72,6.0,0.0,0.0
73,14.0,0.0,0.0
74,8.0,0.0,0.0
75,14.0,0.0,0.0
76,15.0,0.0,0.0
77,17.0,0.0,0.0
78,17.0,0.0,0.0
79,16.0,0.0,0.0
80,12.0,0.0,0.0
81,8.0,0.0,0.0
82,13.0,0.0,0.0
83,16.0,0.0,0.0
84,12.0,0.0,0.0
85,16.0,0.0,0.0
86,16.0,0.0,0.0
87,15.0,0.0,0.0
88,16.0,0.0,0.0
89,12.0,0.0,0.0
90,22.0,0.0,0.0
91,16.0,0.0,0.0
92,19.0,0.0,0.0
93,12.0,1.0,0.375
94,17.0,0.0,0.0
95,15.0,0.0,0.0
96,11.0,0.0,0.0
97,11.0,0.0,0.0
98,23.0,0.0,0.0
99,9.0,0.0,0.0
100,18.0,0.0,0.0
101,16.0,0.0,0.0
102,17.0,0.0,0.0
103,13.0,0.0,0.0
104,12.0,0.0,0.0
105,15.0,0.0,0.0
106,17.0,0.0,0.0
107,14.0,0.0,0.0
108,14.0,0.0,0.0
109,12.0,0.0,0.0
110,10.0,0.0,0.0
111,15.0,0.0,0.0
112,7.0,0.0,0.0
113,6.0,0.0,0.0
114,7.0,1.0,0.31999999999999984
115,12.0,0.0,0.0
116,18.0,0.0,0.0
117,9.0,0.0,0.0
118,17.0,1.0,0.032777777777777795
119,9.0,0.0,0.0
120,8.0,0.0,0.0
121,11.0,0.0,0.0
122,16.0,0.0,0.0
123,18.0,0.0,0.0
124,19.0,0.0,0.0
125,10.0,0.0,0.0
126,10.0,0.0,0.0
127,12.0,0.0,0.0
128,15.0,0.0,0.0
129,12.0,0.0,0.0
130,21.0,0.0,0.0
131,12.0,0.0,0.0
132,12.0,0.0,0.0
133,19.0,0.0,0.0
134,14.0,0.0,0.0
135,16.0,0.0,0.0
136,10.0,0.0,0.0
137,16.0,0.0,0.0
138,17.0,0.0,0.0
139,10.0,1.0,0.40816326530612246
140,9.0,0.0,0.0
141,10.0,0.0,0.0
142,5.0,0.0,0.0
