,0,1,2
0,1227.0,661.0,220.221344422124
1,1192.0,667.0,224.50685864439788
2,1205.0,609.0,217.73198513614224
3,1209.0,755.0,237.13491797249912
4,1201.0,786.0,244.06770746569848
5,1293.0,817.0,247.388491408965
6,1186.0,837.0,257.6326109530424
7,1248.0,852.0,263.7102016793555
8,1197.0,864.0,274.497964469294
9,1189.0,836.0,263.24742869301076
10,1155.0,816.0,263.5044890607638
11,1227.0,801.0,264.6872598199155
12,1197.0,794.0,263.3591954130312
13,1209.0,800.0,265.2660142474428
14,1191.0,585.0,208.57576547572424
15,1230.0,610.0,219.62505201833469
16,1270.0,513.0,200.79331523398508
17,1252.0,675.0,222.82681150128568
18,1280.0,760.0,239.98564058795304
19,1283.0,847.0,254.54931334934687
20,1249.0,870.0,261.5514807129408
21,1234.0,847.0,263.82736228915326
22,1191.0,842.0,269.7886527926211
23,1226.0,769.0,251.52002957393393
24,1233.0,776.0,252.57181829363853
25,1190.0,726.0,248.2847832335707
26,1197.0,516.0,206.36180296385078
27,1283.0,524.0,208.06461466409962
28,1200.0,498.0,205.45805777142897
29,1230.0,590.0,213.70581416412153
30,1242.0,658.0,220.8870635573148
31,1169.0,743.0,232.43826883381317
32,1198.0,813.0,249.5880844809805
33,1198.0,859.0,259.0006064624839
34,1255.0,828.0,253.106036330921
35,1263.0,816.0,257.2793886691727
36,1155.0,786.0,261.51102462224327
37,1228.0,723.0,261.4563195713033
38,1222.0,736.0,260.2715658587977
39,1229.0,735.0,264.9057847267724
40,1141.0,517.0,213.34645823634722
41,1234.0,497.0,216.75356768833723
42,1223.0,592.0,213.90574065133796
43,1240.0,651.0,219.40772799624668
44,1173.0,753.0,238.22797462727831
45,1206.0,810.0,241.9197341686758
46,1183.0,880.0,262.64258846443494
47,1173.0,907.0,273.42358528518133
48,1216.0,869.0,273.78901173565447
49,1207.0,801.0,260.07937645923226
50,1226.0,794.0,280.6144069323309
51,1201.0,740.0,277.71466729537406
52,1241.0,546.0,225.8927282258417
53,1202.0,475.0,215.13935494339879
54,1242.0,577.0,212.13455362393833
55,1174.0,645.0,222.03159978029527
56,1229.0,722.0,227.34210356029033
57,1271.0,775.0,233.6607460748647
58,1232.0,836.0,246.5403343516792
59,1188.0,950.0,286.65096295505833
60,1221.0,923.0,279.60406550691715
61,1274.0,840.0,273.3090624424167
62,1241.0,814.0,286.98061722174106
63,1158.0,775.0,287.61793734758453
64,1258.0,496.0,216.48642599755388
65,1175.0,474.0,215.05755928922918
66,1240.0,588.0,230.71418963469793
67,1193.0,639.0,222.96835534497745
68,1184.0,760.0,245.90141984368785
